"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth","qc_flag"
"105","P002","","","LDFS project districts, Tanzania","Tanzania","cross cutting","climate-smart practices and improved land management","adoption of climate-smart practices and improved land management","","","nearly doubled its intended greenhouse gas reduction outcome, at 1,099,647 tons of CO2 equivalent","1099647","","tons of CO2 equivalent avoided","outcome","case study review of preliminary project reporting","2","infrastructure deliverable - check result_level is output"
"106","P002","","","LDFS project districts, Tanzania","Tanzania","cross cutting","community engagement and beneficiary reach","LDFS community-level interventions","","","the project reached 15,106 beneficiaries, surpassing the target of 12,991","15106","","beneficiaries reached","output","case study review of preliminary project reporting","2",""
"107","P002","","","villages in LDFS districts, Tanzania","Tanzania","land use","village land use planning and tenure","Village Land Use Plans (VLUPs) completed to later stages formalizing land rights, particularly for village forest reserves; support to Certificates of Customary Right of Occupancy","clarifying land tenure, reducing conflict and enhancing environmental protection","community","VLUPs legally clarified land tenure in more than 20 villages, reducing conflict and enhancing environmental protection","20","","villages with legally clarified land tenure","outcome","country case study document review and site visits","2",""
"108","P002","","","LDFS project districts, Tanzania","Tanzania","farming system-crop","sustainable agricultural practices via farmer field schools","techniques such as ridging, improved soil fertility management, water retention methods, line planting, and intercropping promoted through farmer field schools","to address soil degradation and enhance productivity","smallholder farmer","by project completion, nearly 6,300 farmers had adopted these practices","6300","","farmers adopting improved practices","outcome","country case study review of project reporting","2",""
"109","P002","","","LDFS project districts, Tanzania","Tanzania","farming system-crop","yield improvement from improved practices","adoption of improved agricultural practices including intercropping cassava with legumes","","household","maize yields tripling or more for adopters, cassava yields doubling when intercropped with legumes; overall, 4,000 households reported increased production","4000","","households reporting increased production","outcome","country case study review of PIR 2024","2",""
"110","P002","","","several LDFS districts, Tanzania","Tanzania","farming system-mixed","water and livestock infrastructure","rehabilitation and construction of earth dams, micro-irrigation systems, and dip tanks across several districts","completed late in the project cycle; outcomes yet to be reported","","","","","","","country case study review of project reporting","1",""
"111","P002","","","village forest reserves, LDFS districts, Tanzania","Tanzania","land use","forest protection and alternative livelihoods","clarifying village forest reserve boundaries; distributing beehives; empowering communities to enforce bylaws and patrol forest reserves; gully control and beautification for tourism","beehives provided alternative income sources while encouraging forest guardianship; boundary clarification reduced encroachment risks","community","reduced encroachment risks and promoted sustainable forest use, contributing to habitat conservation and biodiversity gains","","","","outcome","country case study site visits and interviews","2",""
"112","P002","","","Kondoa District, Tanzania","Tanzania","farming system-livestock","dairy income diversification","dairy initiative initially provided 24 dairy cows to targeted households; milk collection center with 1,000-liter capacity established","to reduce reliance on forest-damaging practices, especially charcoal production","household","the initial 24 dairy cows have since grown into a herd of 80 animals; families gained milk for home consumption and surplus for sale","80","","dairy cattle herd (from 24 cows distributed)","outcome","country case study site visit and beneficiary interviews","2",""
"113","P002","","","LDFS district (other than Kondoa), Tanzania","Tanzania","farming system-livestock","goat rearing for income diversification","project supported the procurement of 150 goats to diversify incomes and improve household resilience","goat-rearing, requiring less intensive management, proved particularly valuable for vulnerable households","vulnerable population","procurement of 150 goats to diversify incomes and improve household resilience","150","","goats procured","output","country case study review of project reporting","2",""
"114","P002","","","LDFS districts, Tanzania; Zanzibar (seaweed)","Tanzania","agri-food","collection and processing facilities","development of collection and processing facilities for rice, honey, and seaweed (the latter in Zanzibar)","income-generating initiatives to reduce reliance on forest-damaging practices","","enhanced local value chains and improved market access for agricultural products","","","","outcome","country case study review of project reporting","2",""
"115","P002","","","LDFS project districts, Tanzania","Tanzania","cross cutting","gender mainstreaming in training and livelihoods","women's participation in training on improved agricultural practices, crop production, and business and leadership skills; key role in goat-rearing activities","gender actively mainstreamed throughout the project","women (female-headed households)","approximately 40% of project beneficiaries, or around 7,200 women, actively participated in various interventions","7200","","women participating","output","country case study review of project reporting","2",""
"116","P002","","","Haubi and Mafai villages, Kondoa District, Tanzania","Tanzania","farming system-mixed","improved maize technologies and crop diversification","Mbegu Tisa and Jembe la Mzambia improved maize technologies (soil preparation, planting in pods, deeper tillage, mulching, row planting); crop diversification with drought-tolerant crops; napier and elephant grass between fields for erosion control and animal feed","severe land degradation and soil erosion impacting agricultural productivity; mitigate climate risks","smallholder farmer","both technologies offered better crop performance than traditional practices; labor intensity and resource demands restricted widespread adoption","","","","outcome","country case study field visit and farmer interviews","2",""
"117","P002","","","Haubi and Mafai villages, Kondoa District, Tanzania","Tanzania","cross cutting","water supply infrastructure","project supported the installation of boreholes and water tanks to improve the village's water supply, including for dairy livestock keepers","challenges with feed and water access for cattle; reduce burden of transporting water over long distances","community","","","","","","country case study field visit","1",""
"118","P002","","","Kondoa District, Tanzania","Tanzania","agri-food","beekeeping value chain","beekeeping group leveraged modern hives provided as alternative income-generating activity under forest protection efforts","alternative income-generating activities to support forest conservation","farmer group","improved honey yields and access to markets in Arusha and beyond","","","","outcome","country case study field visit","2",""
"119","P002","","","local and district levels, central Tanzania","Tanzania","cross cutting","participatory land-use planning capacity","strengthening local and district-level institutional capacity in participatory joint land-use mapping, planning, and regulation; enhancing stakeholder consultation, adoption, implementation, and enforcement processes","despite decades of decentralized participatory framework, few Village Land Use Plans have been developed and implemented","","","","","","","quality-at-entry analysis of project documents","1",""
"120","P002","","","Karamoja Subregion, Uganda","Uganda","cross cutting","sustainability and resilience for food security","Food-IAP: Fostering Sustainability and Resilience for Food Security in Karamoja Sub Region, GEF ID 9137, UNDP, $7.1 million GEF grant, $58 million cofinance","RFS program objective: improving agricultural sustainability and productivity for smallholder farmers across Sub-Saharan Africa","smallholder farmer","","","","","","portfolio review","1","C3 portfolio metadata - belongs on the general sheet"
"121","P002","","","Karamoja region, Uganda","Uganda","farming system-crop","drought-resistant crop varieties and demonstration gardens","introduced high-yield, drought-resistant sorghum, cassava and sweet potato varieties, and set up demonstration gardens (e.g., irrigated vegetables via drip)","to showcase agronomic best practices and mitigate drought risk","","","","","","","IEO implementation document review","1",""
"122","P002","","","Uganda","Uganda","cross cutting","national policy uptake","child project results feeding into national planning and climate legislation","contributions to national policy frameworks","","CP results were incorporated into the country's third National Development Plan (NDPIII) and influenced the passage of the 2021 Climate Change Act","","","","outcome","IEO implementation document review","2",""
"123","P002","","","Karamoja Subregion, Uganda","Uganda","agri-food","value chain agreements and contract farming","RFS child project brokered value chain agreements and contract farming models","private sector engagement for market access","","","","","","","implementation document review","1",""
"124","P002","","","Karamoja Subregion, Uganda","Uganda","farming system-mixed","climate-smart agriculture and sustainable practices","adoption of sustainable practices such as climate-smart agriculture, sustainable fishing practices, and digital monitoring systems; implementation integrated into national implementation modality with government actors","institutional sustainability through strong ownership by executing partners","","led to achievement of global environmental benefits like carbon sequestration and land restoration","","","","outcome","terminal evaluation review","2",""
"125","P003","","","Liberia","Liberia","farming system-crop","smallholder palm oil production","Community-level support under the GGP Production project for smallholder palm oil producers, who adopted more sustainable practices","Taking deforestation out of commodity supply chains; achieving important outcomes at the community level, mostly moderate in scope and geared towards proof-of-concept","smallholder farmer","","","","","","GEF IEO synthesis of GGP child project terminal evaluations","1",""
"126","P003","","","Liberia","Liberia","agri-food","palm oil supply chain policy and governance","GGP support for the National Oil Palm Platform (NOPPOL) aligned partners around sustainability guidelines that followed the global Roundtable on Sustainable Palm Oil","Horizontal policy coherence across government agencies and sectors for reduced-deforestation supply chains; built on Liberia's national palm oil development strategy, enhancing legitimacy and government participation","","","","","","","Evaluation policy coherence analysis; sustainability caveat: weak ministerial coordination and limited institutional support made policy gains difficult to sustain or enforce","1",""
"127","P003","","","Liberia","Liberia","land use","improved management of landscapes for biodiversity","GGP Production project (Reducing Deforestation from Commodity Production, UNDP): improved natural resource management and practices for biodiversity in palm oil landscapes","Reducing deforestation in commodity supply chains; contribution to global environmental benefits","","27,505,238 ha under improved management for biodiversity (24m ha in Paraguay, 3.2m ha in Indonesia, remainder in Liberia); close to 5 times (468%) of 2015 CEO endorsed target","","","","","GEF core indicator (CI 4.1) achievement reporting; Liberia value derived as remainder of program total after Paraguay and Indonesia shares","2","C2 value derived by subtraction, not stated - removed"
"128","P003","","","Liberia","Liberia","land use","High Conservation Value/High Carbon Stock (HCV/HCS) area protection","GGP Production project: protection of High Conservation Value and High Carbon Stock areas","Reducing deforestation in commodity supply chains; contribution to global environmental benefits","","846,672 ha HCV/HCS area (824,424 ha in Indonesia; 17,248 ha in Paraguay; and 5,000 ha in Liberia); 89% of target of 925,000 ha","5000","","ha","outcome","GEF core indicator (CI 4.4) achievement reporting","2",""
"129","P003","","","Liberia","Liberia","land use","GHG emission reductions from reduced deforestation","GGP Production project: reducing deforestation from commodity production (sustainable palm oil)","Reducing deforestation in commodity supply chains; contribution to global environmental benefits","","129 million mtCO2 (110m mt in Indonesia, 13.6m in Liberia, and 5.4m mt in Paraguay); 217% of target","13600000","","mtCO2","impact","GEF core indicator (GHG, direct and indirect) reporting; terminal evaluation figures higher than program-wide GGP Workshop 2024 figures due to different calculation tools","2",""
"130","P003","","","Liberia","Liberia","farming system-crop","sustainable palm oil production; agricultural training and community conservation agreements","GGP Production project: agricultural training and community conservation agreements","Reducing deforestation in commodity supply chains","community","10,496 beneficiaries (37% women), of which 2,829 in Liberia; 175% of target; 5 percentage points below gender target","2829","","people (direct and indirect beneficiaries)","output","GEF core indicator (beneficiaries) achievement reporting in terminal evaluation","2",""
"131","P003","","","Liberia","Liberia","agri-food","sustainable finance for deforestation-free palm oil supply chains","IFC-led GGP Transactions project aimed to engage private firms and financial institutions in sustainable palm oil production, combining investment facilitation, advisory services, and tool development; Liberia's fragile financial sector and absence of bankable agribusinesses stalled engagement altogether","Advance deforestation-free supply chains through targeted private sector engagement and sustainability tools","agribusiness","","","","","","Terminal evaluation review of private sector results; neither Indonesia nor Liberia yielded investable clients","1",""
"132","P003","","","Liberia","Liberia","farming system-crop","palm oil outgrower support","Under the GGP Production project, a public-private partnership with MANCO supported palm oil outgrowers","Public-private partnerships and training to reinforce private sector engagement in deforestation-free supply chains","producer","","","","","","Evaluation review of private sector engagement approaches (MSPs, tools, partnerships, capacity building)","1",""
"133","P003","","","West Africa","West Africa (regional)","agri-food","reduced-deforestation palm oil sourcing and demand","GGP Demand project (WWF-US) engaged corporate and investor communities in West Africa through the African Palm Oil Initiative (APOI), promoting reduced-deforestation sourcing and contributing to regional sustainability dialogues","Transform market demand for sustainable commodities by partnering with private sector actors, investors, and multi-stakeholder platforms","agribusiness","","","","","","Terminal evaluation review; private sector participation through APOI varied widely, with limited participation in national action plans","1",""
"134","P003","","","Liberia","Liberia","farming system-crop","rural oil palm development practices","Knowledge exchange through a GGP conference, with learning from a GGP Indonesia presentation on rural oil palm development","Knowledge generation, dissemination, and exchange to generate benefits to countries beyond program boundaries","producer","After participating in a GGP conference, a Liberian producer modified their practices for rural oil palm development","1","","producer adopting modified practices","outcome","Example reported in evaluation Box 9; terminal evaluation questioned means of verification of related GGP survey findings","2",""
"135","P004","","","Cabo Verde","Cabo Verde","farming system-fish","small-scale coastal fisheries","CFI support for cold chain and market access improvements in Cabo Verde (West Africa component)","Bolstering small-scale coastal fisheries governance while securing environmental, social, and economic benefits for local communities","artisanal fisher","In West Africa, modest progress was made in cold chain and market access improvements in Cabo Verde","","","","outcome","GEF IEO evaluation synthesis of child project reports, terminal evaluations and interviews","2",""
"136","P004","","","Côte d'Ivoire","Côte d'Ivoire","farming system-fish","small-scale coastal fisheries","Preparatory work with fisheries cooperatives under CFI West Africa","Bolstering small-scale coastal fisheries governance while securing environmental, social, and economic benefits for local communities","cooperative","","","","","","GEF IEO evaluation synthesis of child project reports, terminal evaluations and interviews","1",""
"137","P004","","","Senegal","Senegal","farming system-fish","small-scale coastal fisheries","Preparatory work with fisheries cooperatives under CFI West Africa","Bolstering small-scale coastal fisheries governance while securing environmental, social, and economic benefits for local communities","cooperative","","","","","","GEF IEO evaluation synthesis of child project reports, terminal evaluations and interviews","1",""
"138","P004","","","West Africa (Cabo Verde, Côte d'Ivoire, Senegal)","Cabo Verde; Côte d'Ivoire; Senegal","farming system-fish","coastal fisheries","Fish processing and small enterprise development under CFI child project 'Delivering Sustainable Environmental, Social and Economic Benefits in West Africa' (GEF ID 9126, FAO)","Around half of child projects reported improvements in farmers' and fishers' market access as a key value chain outcome","artisanal fisher","Reported improved market access, with notable efforts in processing and small enterprise development in West Africa","","","","outcome","GEF IEO structured review of project documents","2",""
"139","P004","","","West Africa (Cabo Verde, Côte d'Ivoire, Senegal)","Cabo Verde; Côte d'Ivoire; Senegal","farming system-fish","fish handling and processing","Activities to strengthen tenure and access rights for women fish workers, facilitating access to raw materials and land so women can participate in fish handling and processing (GEF ID 9126, FAO)","Insecure access limits women's ability to benefit from project activities; gender analysis identified these barriers as critical; land and materials positioned as enablers of inclusion and economic benefit","women (female-headed households)","","","","","","GEF IEO quality-at-entry review of child project design documents","1","C3 portfolio metadata - belongs on the general sheet"
"140","P004","","","Cabo Verde","Cabo Verde","farming system-fish","fisheries governance","Aligning fisheries governance, policies, and regulations with ecosystem-based management","CFI mainly focused on aligning fisheries governance, policies, and regulations with ecosystem-based management","","Notable policy advances in Cabo Verde","","","","outcome","GEF IEO evaluation synthesis of project documents and interviews","2",""
"141","P004","","","Côte d'Ivoire","Côte d'Ivoire","farming system-fish","fisheries governance","Aligning fisheries governance, policies, and regulations with ecosystem-based management","CFI mainly focused on aligning fisheries governance, policies, and regulations with ecosystem-based management","","Notable policy advances in Côte d'Ivoire","","","","outcome","GEF IEO evaluation synthesis of project documents and interviews","2",""
"142","P004","","","Senegal","Senegal","farming system-fish","fisheries governance","Aligning fisheries governance, policies, and regulations with ecosystem-based management","CFI mainly focused on aligning fisheries governance, policies, and regulations with ecosystem-based management","","Notable policy advances in Senegal","","","","outcome","GEF IEO evaluation synthesis of project documents and interviews","2",""
"143","P004","","","Senegal","Senegal","farming system-fish","fish processing","High-tech fish processing under CFI Senegal, shared as a source of mutual learning through CFI global coordination fora (International Waters Learning Group, biannual global sessions)","Global coordination fora supported mutual learning across CFI projects","","","","","","","GEF IEO country case study (Indonesia) drawing on interviews and project reports","1",""
"144","P004","","","Cabo Verde","Cabo Verde","farming system-fish","sustainable fisheries finance","CFI Challenge Fund (GEF ID 9125, World Bank) technical assistance preparing investment-ready projects for private sector investment in sustainable fisheries","Advance private sector engagement in sustainable fisheries; help shape a shared understanding of investable fisheries","","Fund significantly outperformed targets, developing 26 investment cases in countries like Indonesia, Peru, Ecuador, and Cabo Verde; engaged over 70 financial stakeholders","26","","investment-ready cases (across six countries incl. Cabo Verde, not disaggregated)","output","GEF IEO desk review of Challenge Fund project reporting and terminal evaluation","2",""
"145","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province (Southern Niassa)","Mozambique","farming system-crop","Agricultural inputs in general: seeds for dry land farming, vegetable seed, fertilizers, pesticides, bicycles for Association animators, tools such as hoes, cutlasses, sickle","Oxfam direct distribution of production inputs to primary level associations: seeds, agricultural implements, fertilizers, pesticides, motorized water pumps, hand tools, bicycles for Association animators","Addressing food security issues and promotion of livelihoods, per the Project logical framework developed August 2004","smallholder farmer","Total population of members in associations assisted by OGB in Southern Niassa = 6,324; all 28 associations surveyed (100%) received seed and other inputs","6324","","association members assisted","output","Programme records plus random-sample survey questionnaire of 28 associations in five districts","2",""
"146","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","cross cutting","Training & Technical Assistance (AT)","Training and technical assistance provided by Oxfam Technicians (field extensionists) to primary level associations, alongside input distribution","Access to agricultural inputs was to be accompanied by a strong component of technical assistance and follow-on","smallholder farmer","Only 43% of the groups interviewed (12 of 28 associations) stated that Oxfam Technicians provide Training & Technical Assistance","43","","% of 28 surveyed associations receiving training & technical assistance","output","Random-sample survey questionnaire with 28 associations in five districts","2",""
"147","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","farming system-livestock","The goat component","Distribution of goats to association members with related technical training in goats management, including how to make elevated corrals for goats","The goat component promoted farm diversification, 'on-the-hoof savings', income generation, access to manure, and dietary diversity/increased dietary protein through improved access to meat products","smallholder farmer","6 of 28 associations surveyed cited receiving goats as a reason they were better off; some women benefited from the goats distribution program and related technical training in goats management","6","","associations (of 28 surveyed) reporting receipt of goats","output","Random-sample survey questionnaire with 28 associations in five districts","2",""
"148","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","farming system-crop","Profitable, market-driven crops have been introduced (sesame, Nametil groundnuts, rice, soybeans, vegetables)","Project promotion and introduction of key cash crops — sesame, soybeans (in 2004), Nametil groundnut, Matuba maize — through seed distribution and training over 2004-2006","Farmers are now better prepared and keen to produce for the market; introduction of cash crops set the stage for associations to conduct business and marketing activities","smallholder farmer","Associations learned to grow new potentially profitable crops: Matuba maize 14 of 28 (50%), Nametil groundnuts 13 (46%), soybeans 7 (25%), sesame 6 (21%), cowpea IT18 5 (18%), rice 3 (11%)","50","","% of surveyed associations that learned to grow Matuba maize (highest-adoption new crop)","outcome","Random-sample survey questionnaire with 28 associations in five districts","2",""
"149","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","farming system-crop","Distribution of vegetable seeds and accompanying training","Distribution of vegetable seeds with accompanying training in vegetable production (seed beds, transplanting, spraying)","Encouraged improved food security, enhanced household nutrition, provided opportunities to sell excess production, and prolonged the marketing period","smallholder farmer","4 of 28 associations (14%) learned to grow vegetables as a new potentially profitable crop over 2004-2006","14","","% of surveyed associations that learned to grow vegetables","outcome","Random-sample survey questionnaire with 28 associations in five districts","2",""
"150","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","farming system-crop","Set up and management of seed banks","Establishment of association seed banks was encouraged; monetary and transport resources were spent on seed purchases and direct distribution to the associations","Develop associations' internal capacity to multiply their own seed","farmer association","Only 18% of associations (5 of 28 groups) developed internal capacity to multiply their own seed / have a seed bank","18","","% of surveyed associations with a seed bank","outcome","Random-sample survey questionnaire with 28 associations in five districts","2",""
"151","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","cross cutting","Functional literacy training","OGB supported UCASN (with CLUSA involvement) to provide literacy training to primary level association members","Project emphasis on gender, literacy training, and support to vulnerable groups","smallholder farmer","9 of 28 associations (32%) received literacy training; yet 83% of the 400 women members surveyed remained illiterate, and only two of 28 groups said they received literacy help from UCASN","32","","% of surveyed associations receiving literacy training","output","Random-sample survey questionnaire with 28 associations in five districts","2",""
"152","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","cross cutting","HIV/SIDA training","Training/education in HIV/AIDS carried out at associations by UCASN or the Oxfam Project, supported by an HIV/AIDS and Gender Officer based in Cuamba since 2003","Integrate HIV/AIDS into the programme","community","46% of associations (13 of 28) had received some form of training/education in HIV/AIDS","46","","% of surveyed associations receiving HIV/AIDS training","output","Random-sample survey questionnaire with 28 associations in five districts","2",""
"153","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","agri-food","Association member training in marketing and business development","Training of associations by UCASN or the Oxfam Project in marketing and in business plan/business development","Promotion of marketing activities and development of associations as business and marketing entities","farmer association","Marketing training received by 7 of 28 associations (25%); business plan/business development training by 5 of 28 (18%)","25","","% of surveyed associations receiving marketing training","output","Random-sample survey questionnaire with 28 associations in five districts","2",""
"154","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","cross cutting","Improved credit services (UCASN and AMIREMO); OGB supported initial efforts to provide micro-credit to the poor","Support to micro-credit access for associations and members through lending institutions GAPI, UCASN and AMIREMO","Improved credit services and investigation of appropriate systems of savings at the household level, per the Project logical framework","farmer association","12 of 28 associations (43%) had obtained a formal loan: GAPI 9, UCASN 2, AMIREMO 1, AMODER 1","43","","% of surveyed associations with formal loan experience","outcome","Random-sample survey questionnaire with 28 associations in five districts","2",""
"155","P005","","","Southern Niassa districts (UCASN affiliate associations); export routed via rail through the Nacala Port","Mozambique","agri-food","The 2004 soybean initiative; marketing and credit activities","2004 soybean initiative: UCASN affiliates produced a soybean crop; UCASN handled marketing and credit activities and delivered the crop for export via rail through the Nacala Port","Promotion of marketing of a profitable, market-driven crop through the producer union and IKURU trading links","producer organization","UCASN successfully handled marketing and credit activities and delivered 30+ tons for export via rail through the Nacala Port","30","","tons of soybeans delivered for export (30+)","outcome","Stakeholder interviews (including IKURU) and review of project literature by the evaluation team","2",""
"156","P005","","","Southern Niassa districts; Cuamba seed multiplication site","Mozambique","farming system-crop","Successful initiative with sesame; seed multiplication","IKURU provided improved sesame seed to Oxfam for the 2004-2005 planting season; the partners multiplied seed (including a Cuamba seed multiplication site) and distributed it to producers in the 2005-2006 season","Introduce improved seed of a profitable, market-driven cash crop with Fair Trade premium potential","producer","","","","","","Stakeholder interviews and site visits to seed multiplication sites","1",""
"157","P005","","","Lissiete (1 de Maio Association) and Maúa town (Muhova Kunhomale Association), Niassa province","Mozambique","farming system-crop","Production extension; day-to-day contact with clients and follow-up TA activities","Field extension services to association production fields; 1 de Maio (Lissiete) and Muhova Kunhomale (Maúa town) were the only associations where the Consultants saw evidence of a dynamic extension process","Having an association facilitates members' access to production technical assistance and opportunities to diversify production","farmer association","","","","","","Field visits to associations' production fields and participatory action research","1",""
"158","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","cross cutting","Gender promotion; sensitization of associations","Gender promotion: associations were sensitized to encourage women to assume leadership positions; OGB had a Gender Specialist and two female District Coordinators","Contribution to women's empowerment and furthering gender equality under Oxfam GB gender policy","women (female-headed households)","68% of associations surveyed (19 of 28) reported women elected as leaders; average 1.3 elected women leaders per association, though women leaders received little or no training for their roles","68","","% of surveyed associations with women elected as leaders","outcome","Random-sample survey questionnaire with 28 associations plus association interviews","2",""
"159","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","cross cutting","Support the association provides to its female members","Women-targeted support within associations: women benefited from the goats distribution program and related training in goats management; other women received additional quantities of seed of field crops (groundnuts or sesame)","Project emphasis on gender and support to vulnerable groups","women (female-headed households)","6 of 28 associations (21%) had a women support program","21","","% of surveyed associations with a women support program","output","Random-sample survey questionnaire with 28 associations in five districts","2",""
"160","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province (Southern Niassa)","Mozambique","cross cutting","Union legalization","The Project opted to focus on legalizing unions and not primary level associations","Prior to the late-2006 new farmers' association legislation, association legalization was prohibitively expensive, centralized through Maputo, and time consuming","producer organization","","","","","","Random-sample survey questionnaire and document review","1",""
"161","P005","","","Cuamba, Mecanhelas, Mandimba, Maúa and Metarica districts, Niassa province","Mozambique","cross cutting","Support to vulnerable households (HHs)","Provision of key inputs (seeds, other inputs, goats) to vulnerable households through programme activities and UCASN goods and services","Support to vulnerable households and livelihoods improvement, per the Project logical framework","vulnerable population","","","","","","Survey questionnaire and field interviews; no records kept allowed judging livelihood improvement","1",""
"162","P005","","","Southern Niassa (UCASN, serving the five districts; previously dominated by Cuamba District)","Mozambique","cross cutting","Capacity building of UCASN; UCASN strategic planning process; improved accounting systems; advocacy and lobbying capacity","Institutional capacity building of UCASN: funding of staff and operations, strategic planning support (plans developed 2005 and 2006), accounting systems, advocacy capacity, and learning activities for the Board of Directors","UCASN was created as the engine to drive grassroots association development","producer organization","","","","","","Structured and semi-structured interviews with OGB and UCASN, literature review, audit reports","1",""
"163","P006","","","5 pilot villages, Cameroon (Maroua project area)","Cameroon","farming system-crop","Agriculture/Rural Development; integrated pest management for subsistence farming, particularly on food crops (millet and sorghum), cowpea","Application of research protocols on IPM techniques and training of farmers in Farmer Field Schools; IPM techniques tested on FFS plots compared with control plots (neem insecticide, crop rotation, organic manure against Striga, resistant varieties)","Crop pests can cause losses of up to 50% of production; reduction of pest-related crop losses through regionally coordinated use of tested IPM techniques to strengthen food security","subsistence farmer","The sorghum yield increase in Farmer Field School plots was 163% in Cameroon; FFS plots in 2003 obtained an average yield of 3726 kg/ha for sorghum and 945 kg/ha for cowpea, against 1417 kg/ha and 517 kg/ha in control plots","163","","% sorghum yield increase, FFS vs control plots (2003)","outcome","Before-after/with-without comparison of Farmer Field School plots vs control plots, 2003 and 2004 crop seasons","2",""
"164","P006","","","5 pilot villages, Chad","Chad","farming system-crop","Agriculture/Rural Development; integrated pest management for subsistence farming, particularly on food crops (millet and sorghum), cowpea","Application of research protocols on IPM techniques and training of farmers in Farmer Field Schools; IPM techniques tested on FFS plots compared with control plots","Crop pests can cause losses of up to 50% of production; reduction of pest-related crop losses through regionally coordinated use of tested IPM techniques to strengthen food security","subsistence farmer","Sorghum yield increase in Farmer Field School plots was 168% in Chad (1104 vs 412 kg/ha, 2003); millet 2781 vs 1527 kg/ha (82% increase, 2003)","168","","% sorghum yield increase, FFS vs control plots (2003)","outcome","Before-after/with-without comparison of Farmer Field School plots vs control plots, 2003 and 2004 crop seasons","2",""
"165","P006","","","5 pilot villages, Nigeria","Nigeria","farming system-crop","Agriculture/Rural Development; integrated pest management for subsistence farming, particularly on food crops (millet and sorghum); in some villages in Nigeria maize is replacing sorghum as staple food","Application of research protocols on IPM techniques and training of farmers in Farmer Field Schools; IPM techniques tested on FFS plots compared with control plots","Crop pests can cause losses of up to 50% of production; reduction of pest-related crop losses through regionally coordinated use of tested IPM techniques to strengthen food security","subsistence farmer","Sorghum yield increase in Farmer Field School plots was 483% in Nigeria where climate and soil conditions were better (6930 vs 1189 kg/ha, 2003); cowpea +200% (2003); maize +213% (2004)","483","","% sorghum yield increase, FFS vs control plots (2003)","outcome","Before-after/with-without comparison of Farmer Field School plots vs control plots, 2003 and 2004 crop seasons","2",""
"166","P006","","","5 pilot villages, Niger","Niger","farming system-crop","Agriculture/Rural Development; integrated pest management for subsistence farming, particularly on food crops (millet), cowpea","Application of research protocols on IPM techniques and training of farmers in Farmer Field Schools; IPM techniques tested on FFS plots compared with control plots","Crop pests can cause losses of up to 50% of production; reduction of pest-related crop losses through regionally coordinated use of tested IPM techniques to strengthen food security","subsistence farmer","Millet yield in FFS plots 1137 vs 639 kg/ha in control plots (78% increase, 2003); cowpea 835 vs 617 kg/ha (35%, 2003); in 2004 cowpea came under heavy attack by hairy caterpillars in all 5 pilot villages, destroying the crop entirely","78","","% millet yield increase, FFS vs control plots (2003)","outcome","Before-after/with-without comparison of Farmer Field School plots vs control plots, 2003 and 2004 crop seasons","2",""
"167","P006","","","5 pilot villages, Chad","Chad","farming system-crop","Research and development; training and information to enhance the IPM capacity of extension workers and farmers","Establishment of village brigades made up of 6 farmers per village, trained in basic plant protection techniques; Farmer Field Schools and individual demonstration test plots set up in the pilot villages; training of extension workers (5 per country)","Acquisition of basic skills by farmers to adopt and implement IPM techniques; village brigades serve as effective links between structures and farmers","subsistence farmer","Research and development was conducted in 20 pilot villages, at the rate of 5 in each country; village brigades of 6 farmers per village trained in basic plant protection techniques; 20 extension workers trained, at the rate of 5 per country","5","","pilot villages with trained village brigades (6 farmers each); 5 extension workers trained","output","Ex-post evaluation document review and field visits","2",""
