"actor_code","actor_name","synonym","tier","source","status","evidence","added"
"KEN2","Ministry of Agriculture and Livestock Development, Kenya","Ministry of Agriculture and Livestock Development","trusted","registry-rule:comma","active","","2026-09-14"
"LSO11","Bureau of Statistics, Lesotho","Bureau of Statistics","trusted","registry-rule:comma","active","","2026-09-14"
"LSO2","Ministry of Agriculture and Food Security, Lesotho","Ministry of Agriculture and Food Security","trusted","registry-rule:comma","active","","2026-09-14"
"LSO5","Ministry of Energy and Meteorology, Lesotho","Ministry of Energy and Meteorology","trusted","registry-rule:comma","active","","2026-09-14"
"LSO7","Ministry of Water, Lesotho","Ministry of Water","trusted","registry-rule:comma","active","","2026-09-14"
"LSO8","Ministry of Tourism, Environment and Culture, Lesotho","Ministry of Tourism, Environment and Culture","trusted","registry-rule:comma","active","","2026-09-14"
"LSO9","Ministry of Forestry, Range and Soil Conservation, Lesotho","Ministry of Forestry, Range and Soil Conservation","trusted","registry-rule:comma","active","","2026-09-14"
"LUX2","Ministry of the Environment, Climate and Sustainable Development, Luxembourg","Ministry of the Environment, Climate and Sustainable Development","trusted","registry-rule:comma","active","","2026-09-14"
"MALI12","Regional Animal Health Center, Mali","Regional Animal Health Center","trusted","registry-rule:comma","active","","2026-09-14"
"MALI15","Rural Polytechnic Institute of Training and Applied Research of Katibougou","IFRA","candidate","registry-rule:acronym-split","active","","2026-09-14"
"MALI15","Rural Polytechnic Institute of Training and Applied Research of Katibougou","IPR","candidate","registry-rule:acronym-split","active","","2026-09-14"
"MALI19","Agency for Environment and Sustainable Development, Ministry of Environment and Sanitation, Mali","Agency for Environment and Sustainable Development, Ministry of Environment and Sanitation","trusted","registry-rule:comma","active","","2026-09-14"
"MALI20","National Meteorological Agency, Mali","METEO","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MALI20","National Meteorological Agency, Mali","National Meteorological Agency","candidate","registry-rule:comma","active","","2026-09-14"
"MALI21","Ministry of Rural Development, Mali","Ministry of Rural Development","trusted","registry-rule:comma","active","","2026-09-14"
"MALI22","Ministry of Security and Civil Protection, Mali","Ministry of Security and Civil Protection","trusted","registry-rule:comma","active","","2026-09-14"
"MALI24","Ministry of Agriculture, Mali","Ministry of Agriculture","candidate","registry-rule:comma","active","","2026-09-14"
"MALI25","Ministry of Environment and Sanitation, Mali","Ministry of Environment and Sanitation","trusted","registry-rule:comma","active","","2026-09-14"
"MALI29","Secretariat of Malian NGOs","ONG","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MALI3","Regional Development Agency of Segou, Mali","Regional Development Agency of Segou","trusted","registry-rule:comma","active","","2026-09-14"
"MALI4","Regional Development Agency of Mopti, Mali","Regional Development Agency of Mopti","trusted","registry-rule:comma","active","","2026-09-14"
"MALI40","Agence des Energie Renouvelables du Mali","AER","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MALI50","Ministry of Economy and Finance, Mali","Ministry of Economy and Finance","candidate","registry-rule:comma","active","","2026-09-14"
"MALI54","Regional Directorates of Agriculture, Mali","Regional Directorates of Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"MALI55","Regional Directorate of the Promotion of Women, Children and Family, Mali","Regional Directorate of the Promotion of Women, Children and Family","trusted","registry-rule:comma","active","","2026-09-14"
"MALI56","Regional Directorate of Social Development, Mali","Regional Directorate of Social Development","trusted","registry-rule:comma","active","","2026-09-14"
"MALI57","Regional Chambers of Agriculture, Mali","Regional Chambers of Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"MALI59","Rural Polytechnic Institute of Katibougou","IFRA","candidate","registry-rule:acronym-split","active","","2026-09-14"
"MALI59","Rural Polytechnic Institute of Katibougou","IPR","candidate","registry-rule:acronym-split","active","","2026-09-14"
"MALI60","National Platform of Rice Farmers in Mali","PNPR","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MALI61","Interprofession de la Filliere du Riz au Mali","IFRIZ","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MALI66","Union Locale des Producteurs de Karité de Sanankoroba - Yirwasso","ULPKS","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MALI67","Union Locale des Producteurs de Karité de Dioila","ULPK","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MALI7","Association of Professional Farmer Organisations, Mali","Association of Professional Farmer Organisations","trusted","registry-rule:comma","active","","2026-09-14"
"MALI72","Regional Council of Mopti, Mali","Regional Council of Mopti","trusted","registry-rule:comma","active","","2026-09-14"
"MALI73","Regional Council of Tombouctou, Mali","Regional Council of Tombouctou","trusted","registry-rule:comma","active","","2026-09-14"
"MALI74","Regional Council of Gao, Mali","Regional Council of Gao","trusted","registry-rule:comma","active","","2026-09-14"
"MALI76","Support Committee of Regional Initiatives","CAB","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MOR1","Etablissement de Coopération Intercommunal de la Vallée de l'Arghen, Morocco","Etablissement de Coopération Intercommunal de la Vallée de l'Arghen","trusted","registry-rule:comma","active","","2026-09-14"
"MOR17","Mohamed V University, Rabat","FLSH","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MOR17","Mohamed V University, Rabat","Mohamed V University","trusted","registry-rule:comma","active","","2026-09-14"
"MOR17","Mohamed V University, Rabat","UM5","trusted","registry-rule:acronym-split","active","","2026-09-14"
"MOR21","Agency for Agricultural Development, Morocco","Agency for Agricultural Development","trusted","registry-rule:comma","active","","2026-09-14"
"MOR22","Office Regional de Mise en Valeur Agricole, Morocco","Office Regional de Mise en Valeur Agricole","trusted","registry-rule:comma","active","","2026-09-14"
"MOR23","Regional Observatories on Environment and Sustainable Development, Morocco","Regional Observatories on Environment and Sustainable Development","trusted","registry-rule:comma","active","","2026-09-14"
"MOR25","Agence du Bassin Hydraulique, Morocco","Agence du Bassin Hydraulique","trusted","registry-rule:comma","active","","2026-09-14"
"MOR26","High Commissioner for Water and Forests and the Fight against Desertification, Morocco","High Commissioner for Water and Forests and the Fight against Desertification","trusted","registry-rule:comma","active","","2026-09-14"
"MOR27","Directorate of Irrigation, Morocco","Directorate of Irrigation","trusted","registry-rule:comma","active","","2026-09-14"
"MOR3","Direction Provinciale de l'Equipement, Transports, Logistiques et Eau, Morocco","Direction Provinciale de l'Equipement, Transports, Logistiques et Eau","trusted","registry-rule:comma","active","","2026-09-14"
"MOR31","Ministry of Agriculture, Equipment, and Environment, Morocco","Ministry of Agriculture, Equipment, and Environment","trusted","registry-rule:comma","active","","2026-09-14"
"MOR32","Ministry of Agriculture, Maritime Fisheries, Rural Development and Water and Forests, Morocco","Ministry of Agriculture, Maritime Fisheries, Rural Development and Water and Forests","trusted","registry-rule:comma","active","","2026-09-14"
"MOR34","Office Regional de la Mise en Valeur Agricole du Taflalet, Morocco","Office Regional de la Mise en Valeur Agricole du Taflalet","trusted","registry-rule:comma","active","","2026-09-14"
"MOR4","Agence de Bassin Hydraulique du Souss Massa, Maroc","Agence de Bassin Hydraulique du Souss Massa","trusted","registry-rule:comma","active","","2026-09-14"
"MOR40","Ministry of Economy and Finance, Morocco","Ministry of Economy and Finance","candidate","registry-rule:comma","active","","2026-09-14"
"MOR41","Provincial Directorate of Agriculture, Morocco","Provincial Directorate of Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"MOR42","Directorate of Rural Space Development and Mountain Areas, Morocco","Directorate of Rural Space Development and Mountain Areas","trusted","registry-rule:comma","active","","2026-09-14"
"MOR43","Regional Directorate of Agriculture, Morocco","Regional Directorate of Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"MOR45","National Agricultural Advisory Office, Morocco","National Agricultural Advisory Office","trusted","registry-rule:comma","active","","2026-09-14"
"MOR51","Ministry of Higher Education, Scientific Research and Professional Training, Morocco","Ministry of Higher Education, Scientific Research and Professional Training","trusted","registry-rule:comma","active","","2026-09-14"
"MOR52","National Meteorological Department, Morocco","National Meteorological Department","trusted","registry-rule:comma","active","","2026-09-14"
"MOR53","Directorate of Strategy and Statistics, Morocco","Directorate of Strategy and Statistics","trusted","registry-rule:comma","active","","2026-09-14"
"MOR7","Regional Council of Souss Massa, Morocco","Regional Council of Souss Massa","trusted","registry-rule:comma","active","","2026-09-14"
"MOR8","National Agency of Water and Forests, Morocco","National Agency of Water and Forests","trusted","registry-rule:comma","active","","2026-09-14"
"NLD10","The Royal Tropical Institute","Royal Tropical Institute","trusted","registry-rule:the","active","","2026-09-14"
"NLD12","The Turing Foundation","Turing Foundation","trusted","registry-rule:the","active","","2026-09-14"
"NLD18","The Sustainable Trade Initiative","Sustainable Trade Initiative","trusted","registry-rule:the","active","","2026-09-14"
"NLD20","Science for Global Development","NWO","trusted","registry-rule:acronym-split","active","","2026-09-14"
"NLD20","Science for Global Development","WOTRO","trusted","registry-rule:acronym-split","active","","2026-09-14"
"NLD24","The Salt Doctors","Salt Doctors","trusted","registry-rule:the","active","","2026-09-14"
"NLD26","Ministry of Infrastructure and Water Management, Netherlands","Ministry of Infrastructure and Water Management","trusted","registry-rule:comma","active","","2026-09-14"
"NLD3","Ministry of Foreign Affairs, Netherlands","Ministry of Foreign Affairs","candidate","registry-rule:comma","active","","2026-09-14"
"PAL1","The Volcani Center, zionist-occupied Palestine","The Volcani Center","trusted","registry-rule:comma","active","","2026-09-14"
"PAL1","The Volcani Center, zionist-occupied Palestine","Volcani Center, zionist-occupied Palestine","trusted","registry-rule:the","active","","2026-09-14"
"PAL2","Palestinian-Jewish Center for Empowerment, Equality, and Cooperation – Negev Institute for Strategies of Peace and Economic Development, zionist-occupied Palestine","AJEEC","trusted","registry-rule:acronym-split","active","","2026-09-14"
"PAL2","Palestinian-Jewish Center for Empowerment, Equality, and Cooperation – Negev Institute for Strategies of Peace and Economic Development, zionist-occupied Palestine","NISPED","trusted","registry-rule:acronym-split","active","","2026-09-14"
"PAL2","Palestinian-Jewish Center for Empowerment, Equality, and Cooperation – Negev Institute for Strategies of Peace and Economic Development, zionist-occupied Palestine","Palestinian-Jewish Center for Empowerment, Equality, and Cooperation – Negev Institute for Strategies of Peace and Economic Development","trusted","registry-rule:comma","active","","2026-09-14"
"PRT2","Higher Institute of Agronomy, University of Lisbon","Higher Institute of Agronomy","trusted","registry-rule:comma","active","","2026-09-14"
"REG12","The Internation Union for Conservation of Nature's Center for Mediterranean Cooperation","Internation Union for Conservation of Nature's Center for Mediterranean Cooperation","trusted","registry-rule:the","active","","2026-09-14"
"REG2","The Common Market for Eastern and Southern Africa","Common Market for Eastern and Southern Africa","trusted","registry-rule:the","active","","2026-09-14"
"REG32","The African Institute of Mathematical Sciences","African Institute of Mathematical Sciences","trusted","registry-rule:the","active","","2026-09-14"
"REG32","The African Institute of Mathematical Sciences","AIMS","trusted","registry-rule:acronym-split","active","","2026-09-14"
"REG32","The African Institute of Mathematical Sciences","NEI","trusted","registry-rule:acronym-split","active","","2026-09-14"
"SEN4","National Agricultural Insurance Company, Senegal","National Agricultural Insurance Company","trusted","registry-rule:comma","active","","2026-09-14"
"SEN5","National School of Agriculture, Senegal","National School of Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"SWZ1","Ministry of Agriculture, Swaziland","Ministry of Agriculture","candidate","registry-rule:comma","active","","2026-09-14"
"TGO1","Ministry of Agriculture, Livestock, and Hydraulics, Togo","Ministry of Agriculture, Livestock, and Hydraulics","trusted","registry-rule:comma","active","","2026-09-14"
"UK37","The Rufford Foundation","Rufford Foundation","trusted","registry-rule:the","active","","2026-09-14"
"ZA1","The Institute for Wine Biotechnology, Stellenbosch University","Institute for Wine Biotechnology, Stellenbosch University","trusted","registry-rule:the","active","","2026-09-14"
"ZA1","The Institute for Wine Biotechnology, Stellenbosch University","The Institute for Wine Biotechnology","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM1","Ministry of Fisheries and Livestock, Zambia","Ministry of Fisheries and Livestock","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM10","District Agriculture Coordinator Office, Zambia","District Agriculture Coordinator Office","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM20","Ministry of Agriculture, Zambia","Ministry of Agriculture","candidate","registry-rule:comma","active","","2026-09-14"
"ZAM25","Forestry Department, Zambia","Forestry Department","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM27","Ministry of Fisheries and Livestock, Department of Livestock Development, Zambia","Ministry of Fisheries and Livestock, Department of Livestock Development","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM33","Department of Water Affairs, Zambia","Department of Water Affairs","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM44","National Remote Sensing Center, Zambia","National Remote Sensing Center","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM5","Ministry of Agriculture and Livestock, Zambia","Ministry of Agriculture and Livestock","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM50","National Food and Nutrition Commission, Zambia","National Food and Nutrition Commission","trusted","registry-rule:comma","active","","2026-09-14"
"ZAM55","Ministry of Green Economy and Environment, Zambia","Ministry of Green Economy and Environment","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM13","Ministry of Tourism, Environment and Hospitality, Zimbabwe","Ministry of Tourism, Environment and Hospitality","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM16","Chibuwe Irrigation Management Committee, Zimbabwe","Chibuwe Irrigation Management Committee","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM17","Dewure Irrigation Management Committee, Zimbabwe","Dewure Irrigation Management Committee","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM18","Seke Irrigation Management Committee, Zimbabwe","Seke Irrigation Management Committee","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM19","The Organization of Rural Associations for Progress","Organization of Rural Associations for Progress","trusted","registry-rule:the","active","","2026-09-14"
"ZIM3","Ministry of Lands, Agriculture, Water and Rural Resettlement, Zimbabwe","Ministry of Lands, Agriculture, Water and Rural Resettlement","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM4","Ministry of Environment and Natural Resources Management, Zimbabwe","Ministry of Environment and Natural Resources Management","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM5","Meteorological Services Department, Zimbabwe","Meteorological Services Department","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM6","Department of Civil Protection, Zimbabwe","Department of Civil Protection","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM7","Ministry of Public Service, Labour and Social Welfare, Zimbabwe","Ministry of Public Service, Labour and Social Welfare","trusted","registry-rule:comma","active","","2026-09-14"
"ZIM8","Department of Agricultural, Technical and Extension Services, Zimbabwe","Department of Agricultural, Technical and Extension Services","trusted","registry-rule:comma","active","","2026-09-14"
